address,business_id,categories,city,name,postal_code,stars,state
"10550 Independence Pointe Pkwy, Ste 302",EpeIGIdVblKts0ihFJY_9w,"General Litigation, Lawyers, Professional Services, Real Estate, Real Estate Law, Home Services, Bankruptcy Law, Legal Services",Matthews,Harry Marsh Law,28105,3.5,NC
"8712 Lindholm Dr, Ste 300",O7SvlRCCJgcrmsfAtj-pGg,"Real Estate Law, Professional Services, Lawyers",Huntersville,"Ckezepis Law, PLLC",28078,2.5,NC
2120-237 4 Avenue SW,K1GkW5y9jMPxbeGLnw4t0A,"Real Estate Law, Divorce & Family Law, Lawyers, Immigration Law, Legal Services, General Litigation, Professional Services, Notaries, Local Services",Calgary,Caron & Partners,T2P 4K3,2.5,AB
402 E Southern Ave,lyFktc4fC8SzZNIQg2KNOw,"Local Services, Divorce & Family Law, Lawyers, Estate Planning Law, Professional Services, Notaries, Bankruptcy Law, Legal Services",Tempe,"Taylor House Law, PLC",85282,5.0,AZ
"19410 Jetton Rd, Ste 130",_OlEcEZdjuqu-bI38qOfBQ,"Lawyers, Professional Services, Divorce & Family Law, Estate Planning Law, General Litigation",Cornelius,Thomas Susan V Attorney Family Law,28031,5.0,NC
"1057 Whitney Ranch Dr, Ste 350",z-CGCHaR7g4tS3G4VV099Q,"Professional Services, Traffic Ticketing Law, Divorce & Family Law, DUI Law, Lawyers, Parking, Personal Injury Law, Automotive, General Litigation, Real Estate Law",Henderson,The Wright Law Offices,89014,5.0,NV
6173 S Rainbow Blvd,N5tz1ZQqeIyGtvB0yoLI4A,"Professional Services, Real Estate Law, Personal Injury Law, Financial Services, Lawyers, Financial Advising, Legal Services, Bankruptcy Law",Las Vegas,Peters and Associates,89118,4.5,NV
326 W 10th St,gFtYRB0AVTrakzNBgbq4nQ,"Personal Injury Law, Lawyers, Professional Services, Legal Services, Tenant and Eviction Law, Business Law, General Litigation, Employment Law, Wills, Trusts, & Probates, Medical Law, Estate Planning Law",Charlotte,Lindley Law,28202,5.0,NC
"2155 W Pinnacle Peak Rd, Ste 201-28",4Ab9Av1zCIsRLTO7-Wx8HA,"Bankruptcy Law, Divorce & Family Law, General Litigation, Professional Services, Lawyers, Estate Planning Law",Phoenix,The Law Office of Joshua K Hatch,85027,4.5,AZ
"10789 W Twain Ave, Ste 100",CUEPzJmQjvtlvH8icx-eQA,"Real Estate Law, Lawyers, Professional Services, Bankruptcy Law, Personal Injury Law",Las Vegas,Battle Born Injury Lawyers,89135,4.5,NV
10125 Berkeley Pl Dr,qC-brtILr9-kc5IKPvAuQg,"Professional Services, Real Estate Law, Lawyers",Charlotte,Costner Law,28262,3.0,NC
"3411 North Fifth Ave, Ste 303",p0AJCBI9Plo0K3cn9h7TtA,"Lawyers, Professional Services, IP & Internet Law, Business Law, Estate Planning Law, General Litigation",Phoenix,Keeling Law Offices,85013,2.5,AZ
"5725 N Scottsdale Rd, Ste C-110",GYOBUJtTt39GWaByf8Lk9g,"Real Estate Law, Personal Injury Law, Professional Services, Lawyers, Medical Law",Scottsdale,David Shapiro Law,85250,5.0,AZ
"6655 W Sahara Ave, Ste D-114",FEo6PAUUy_u3EvWJF8Mo8w,"Lawyers, Estate Planning Law, Professional Services, Divorce & Family Law",Las Vegas,"Acherman Law - Personal, Professional Representation",89146,5.0,NV
"5320 N 16th St, Ste 205",dq_s3i3_FHA3ptnhsVvmfA,"Professional Services, Real Estate Law, Lawyers, Legal Services, Personal Injury Law, Contract Law, Divorce & Family Law, Business Law, General Litigation",Phoenix,Degnan Law,85016,4.5,AZ
"14646 N Kierland Blvd, Ste 230",UEv3X-tIjr1QWLHYxmtz5A,"Professional Services, Real Estate Law, Lawyers, Business Law, Divorce & Family Law",Scottsdale,Provident Law,85254,3.5,AZ
"301 N Neil St, Ste 400",204g8guwaRbL-T23BRjOHQ,"Professional Services, Lawyers, Divorce & Family Law, Business Law, Real Estate Law",Champaign,Rincker Law,61820,5.0,IL
"1760 E Pecos Rd, Ste 332",tNlfh4x5HUUHj65KbNmDFg,"Lawyers, Local Services, Professional Services, Business Law, General Litigation, Mediators, Estate Planning Law, Wills, Trusts, & Probates, Personal Injury Law",Gilbert,Harrison Law,85295,4.0,AZ
"11120 N Tatum Blvd, Ste 101",GeVgX-OZDTlOskU9kd8TuA,"Lawyers, Professional Services, Estate Planning Law, Divorce & Family Law, Wills, Trusts, & Probates, Business Law",Phoenix,Poulos Law Firm,85028,5.0,AZ
4164 N Marshall Way,QTD6euYGCNyL3C93tC6ncw,"Home Services, Professional Services, Real Estate Services, Lawyers, Hotels & Travel, Real Estate Law, Real Estate, Vacation Rental Agents, Legal Services",Scottsdale,Vacation Ownership Consultants,85251,5.0,AZ
3901 W Charleston Blvd,7RMJmOFSG3aSXU83KBoWGg,"Estate Planning Law, Wills, Trusts, & Probates, Divorce & Family Law, Professional Services, Notaries, Lawyers, Financial Services, Tax Services, Local Services",Las Vegas,Nevada Legal Forms & Tax Services,89102,3.0,NV
"4250 N Drinkwater Blvd, Fl 4",7ip3JWOAxL-FlTGQGaHLxQ,"Bankruptcy Law, Lawyers, Divorce & Family Law, Professional Services, Estate Planning Law",Scottsdale,Sacks Tierney,85251,2.5,AZ
120 Church Rd,YcTIvgMOqnz5iOkN987oOA,"Bankruptcy Law, Lawyers, Business Law, Professional Services, Real Estate Law",Wexford,Dorazio Law Group,15090,2.5,PA
"5304 E Southern Ave, Ste 106",-Hc1J3UdMvErcWLDHKn1-A,"Local Services, Community Service/Non-Profit, Public Services & Government, Real Estate Law, Lawyers, Home Services, Real Estate Services, Professional Services, Tenant and Eviction Law, Real Estate, Legal Services",Mesa,Arizona Tenants Association,85206,3.5,AZ
"2700 N 3rd St, Ste 3055",0r7T5Cypgdx4PuOhaJ_ruw,"Divorce & Family Law, Lawyers, Professional Services, Personal Injury Law, Bankruptcy Law, Estate Planning Law",Phoenix,The Law Office of Malkin & Associates,85004,3.0,AZ
"5812 S Pecos Rd, Ste A",PAcRm1PJmQb8pkwtWV94bA,"Lawyers, Real Estate Law, Professional Services, Tenant and Eviction Law, Business Law",Las Vegas,Simon Law,89120,4.5,NV
"500 N Rainbow Blvd, Ste 300",bs8xKVVKTw_GnwZ2a7HhIQ,"Estate Planning Law, Professional Services, Lawyers, Divorce & Family Law, Bankruptcy Law",Las Vegas,Roger A Giuliani Law Offices,89107,4.5,NV
"2625 N Green Valley Pkwy, Ste 225",TlZWdscw4diB9U3dwaCmHA,"Professional Services, General Litigation, Real Estate Law, Lawyers, Personal Injury Law",Henderson,"Judd J Balmer, Esq",89014,2.5,NV
"6980 S Cimarron Rd, Ste 110",BY9IQn3lvx6UGnPQQHAusQ,"Estate Planning Law, Professional Services, Lawyers, Business Law, Wills, Trusts, & Probates",Las Vegas,Trusted Estate Planning Attorneys,89113,5.0,NV
"2620 Regatta Dr, Ste 102",Vm2TWVsv-6qPTF5AT8mx0Q,"Professional Services, Business Law, Wills, Trusts, & Probates, Estate Planning Law, Lawyers, Real Estate Law",Las Vegas,Nevada Estate Planning & Probate Services,89128,5.0,NV
"4560 S Decatur Blvd, Ste 302",P-0uY-AQvVYTMtIogguoWw,"Bankruptcy Law, Real Estate Law, Professional Services, Lawyers, Legal Services",Las Vegas,DeLuca & Associates,89103,4.0,NV
"3430 Toringdon Way, Ste 101A",fnXC8u-uVbekWQcugFvt-g,"Professional Services, Lawyers, Home Services, Real Estate, Real Estate Law",Charlotte,"Gerard W. McNaught, LLC",28277,2.5,NC
"255 Consumers Road, 5th Floor",W_GTlDcrgCbPtvgt9LtMsQ,"Real Estate Law, Lawyers, Professional Services, Personal Injury Law, Local Services",Toronto,Diamond & Diamond Lawyers,M2J 1R3,2.5,ON
"10320 W Mcdowell Rd, Bldg D",AEEa3PCo_dBaWHRNHrytdQ,"Lawyers, Personal Injury Law, Divorce & Family Law, Wills, Trusts, & Probates, Professional Services, Estate Planning Law",Avondale,Johnson & Associates,85392,5.0,AZ
"10655 Park Run Dr, Ste 130",sOsW27gsx3VVMWhdLx2OlA,"Divorce & Family Law, Estate Planning Law, Professional Services, Lawyers, Tax Law",Las Vegas,Miller Rebecca - Cooper Coons Law Firm,89144,5.0,NV
"625 N Gilbert Rd, Ste 201",XriRz6VbYDltbSSABPy_qA,"Employment Law, DUI Law, Professional Services, Estate Planning Law, Lawyers, Criminal Defense Law, Bankruptcy Law, Divorce & Family Law",Gilbert,Zachary Law Group,85234,3.5,AZ
"639 Dupont Street, Unit 188",m0V7G95ciymTAGPKYxHBlg,"Estate Planning Law, Notaries, Lawyers, Business Law, General Litigation, Local Services, Contract Law, Professional Services, Immigration Law",Toronto,House Call Notary Public,M6G 1Z4,4.5,ON
"8686 E San Alberto Dr, Ste 300",irSen-EG7GsrevUZYGbc2g,"Contract Law, Business Law, Lawyers, Professional Services, Employment Law, Estate Planning Law",Scottsdale,Law Office of Wendy Anderson,85258,4.0,AZ
"18 E University Dr, Ste 201",Oi3dls1J_JzDQEuVAtdJHg,"Business Law, Divorce & Family Law, Bankruptcy Law, Real Estate Law, DUI Law, Professional Services, Lawyers, Wills, Trusts, & Probates, Estate Planning Law, Employment Law",Mesa,Joseph M Udall,85201,4.0,AZ
"4700 S Mill Ave, Ste 5",D0Ps4yBPJPEFwMSRtH3ynw,"Professional Services, Real Estate Law, Lawyers",Tempe,The Law Offices of J Roger Wood,85282,2.5,AZ
3293 Leechburg Rd,OG-oeLM7ND4xO5Nj2Z5Swg,"Estate Planning Law, Wills, Trusts, & Probates, Workers Compensation Law, Divorce & Family Law, Lawyers, Professional Services, Employment Law",New Kensington,"Emily K Trisoline, Attorney",15068,3.5,PA
"1640 S Stapley Dr, Ste 132",ZH9Xaw4TvTg1psnFsjpSKw,"Real Estate Law, Personal Injury Law, General Litigation, Lawyers, Professional Services",Mesa,Schern Richardson Finter Decker,85204,5.0,AZ
"520 S Fourth St, Ste 350",40NN63v0MGD8jYXtIfplaQ,"Estate Planning Law, Divorce & Family Law, Wills, Trusts, & Probates, Lawyers, Professional Services, Criminal Defense Law, Personal Injury Law",Las Vegas,Dawn Lozano,89101,5.0,NV
2916 N 7th Ave,V2sX62YqJiolrr4BqRuQqQ,"Professional Services, Personal Injury Law, Wills, Trusts, & Probates, Real Estate Law, Lawyers, General Litigation, Real Estate, Estate Planning Law, Business Law, Home Services, Bankruptcy Law",Phoenix,Platt & Westby,85013,4.0,AZ
"9949 W Bell Rd, Ste 201",9gdGI4reocg79AybmQAh9g,"Professional Services, Estate Planning Law, Divorce & Family Law, Criminal Defense Law, Lawyers",Sun City,Moore Law Firm,85351,3.5,AZ
725 W Elliot Rd,-SY343b6fyP0vaj2duY3JA,"Real Estate Law, Real Estate Agents, Professional Services, Home Services, Lawyers, Real Estate, Real Estate Services",Gilbert,RE/MAX Alliance Group,85233,2.0,AZ
"1930 Village Center Cir, Ste 3-165",kK0kZMxmd1KKwU_s4YUpxA,"Lawyers, Real Estate, Professional Services, Fashion, Used, Vintage & Consignment, Estate Planning Law, Home Services, Estate Liquidation, Home & Garden, Home Decor, Furniture Stores, Shopping",Las Vegas,Silver Lining Estate Sales & Liquidation,89134,5.0,NV
601 S 6th St,vD1njlctvEaraE-nJkjbCw,"Real Estate, Business Law, Home Services, General Litigation, Lawyers, Professional Services, Real Estate Law",Las Vegas,Kern Law,89101,4.0,NV
3115 S Price Rd,Yb7zIEDAf4mNIu4O42L92g,"Estate Planning Law, Lawyers, Professional Services",Chandler,Jeffrey P Hall,85248,5.0,AZ
"1057 Whitney Ranch Dr, Ste 350",fIOztDK0wQMRubUeEeaVWA,"Real Estate Law, Personal Injury Law, Business Law, Estate Planning Law, Professional Services, Lawyers",Henderson,Ken R Ashworth & Associates,89014,5.0,NV
"750 Prospect Ave E, Ste 306",MbKWg24rOC8G8d3UfkuGZQ,"Lawyers, Professional Services, Workers Compensation Law, Wills, Trusts, & Probates, Employment Law, Estate Planning Law",Cleveland,Hurm Law Firm,44115,5.0,OH
