address,business_id,categories,city,name,postal_code,stars,state
"15605 W Roosevelt St, Ste 103",FNtrxYca1pRcPJ80ZPQu_w,"Financial Services, Home & Rental Insurance, Home Services, Real Estate, Auto Insurance, Life Insurance, Automotive, Insurance, Real Estate Services",Goodyear,Allstate Insurance: Oscar Arnold,85338,5.0,AZ
128 Clairton Blvd,1wB4Is9P9U11sihZVUQgaw,"Home & Rental Insurance, Insurance, Life Insurance, Financial Services, Auto Insurance",Pittsburgh,Triangle Benefit Services,15236,5.0,PA
"4260 W Craig Rd, Ste 150-A",nTq2Oej2WsSiOBNNEtR6lg,"Auto Insurance, Insurance, Health Insurance Offices, Funeral Services & Cemeteries, Health & Medical, Home & Rental Insurance, Local Services, Financial Services, Life Insurance",Las Vegas,Nevada Insurance Enrollment,89032,4.5,NV
"4120 N 20th St, Ste B",wL2JpTAk3zziok1Y9jpMVw,"Financial Services, Life Insurance, Insurance, Health & Medical, Health Insurance Offices",Phoenix,Focus Benefits Group,85016,5.0,AZ
1013 S Stapley Dr,wkcLbpz6GCDJ5D0_uwg9aQ,"Auto Insurance, Insurance, Financial Services, Home & Rental Insurance, Life Insurance",Mesa,Arizona National Insurance,85204,5.0,AZ
"2400 S Rancho Dr, Ste 160",AkBSbIyrsa3Fy8lP0WuN7g,"Auto Insurance, Home & Rental Insurance, Life Insurance, Financial Services, Insurance",Las Vegas,Shalyani Alberto - State Farm Insurance Agent,89102,4.5,NV
"633 E Ray Dr, Ste 106",hu0ZSSIYN4YoNHgnQqNgRg,"Financial Services, Home & Rental Insurance, Life Insurance, Insurance, Auto Insurance",Gilbert,Legacy Insurance & Investment Group,85296,1.5,AZ
"715 W Baseline Rd, Ste 3",46Tp9MfHruBf2ReaU5SZBg,"Life Insurance, Home & Rental Insurance, Insurance, Financial Services, Auto Insurance, Professional Services",Tempe,Farmers Insurance - Greg Krajewski,85283,3.5,AZ
"7145 W Ann Rd, Ste 120",ep9qv_IHwduMhp0C6xBZ1A,"Insurance, Financial Services, Auto Insurance, Life Insurance, Home & Rental Insurance",Las Vegas,All Nevada Insurance,89130,4.0,NV
"2990 Sunrdg Hgts, Ste 130",N0wCyREajOBd6ptgJfCsKQ,"Auto Insurance, Life Insurance, Home & Rental Insurance, Insurance, Financial Services",Henderson,Allstate Insurance: Mike Seifer,89052,5.0,NV
,ha7QgVNfyDXQ7GXqhZqpTQ,"Life Insurance, Insurance, Home & Rental Insurance, Auto Insurance, Financial Services",Charlotte,Valbuena Insurance Group,28209,2.0,NC
231 N Gilbert Rd,s_L5r5U09ryymTpcs7YrxQ,"Financial Services, Home & Rental Insurance, Auto Insurance, Life Insurance, Insurance",Gilbert,Allstate Insurance: Wes Cain,85234,3.5,AZ
"7400 E Pinnacle Peak Rd, Ste 204",3M0eqrPb7Ae2ywKqrNCH9Q,"Auto Insurance, Home & Rental Insurance, Financial Services, Insurance, Life Insurance",Scottsdale,Neate Dupey Insurance Group,85255,5.0,AZ
"6955 N Durango Dr, Unit 1001",LA3mtgvUBTX_DGmjfFGdtg,"Financial Services, Insurance, Auto Insurance, Life Insurance, Home & Rental Insurance",Las Vegas,Allstate Insurance: Padma Schaudt,89149,2.5,NV
2346 E Bonanza Rd,gX_M3-No7Enc0f4eLxZh_Q,"Financial Services, Auto Insurance, Insurance, Home & Rental Insurance, Life Insurance",Las Vegas,Freeway Insurance,89101,3.5,NV
"301 N Pecos Rd, Ste D",LuCGd2ccVQJECqNId72fZg,"Life Insurance, Home & Rental Insurance, Auto Insurance, Financial Services, Insurance",Henderson,Western Pacific Insurance,89074,4.5,NV
"2450 S Gilbert Rd, Ste 212",sT_J-0Vji-LGteSdVp_gww,"Investing, Home & Rental Insurance, Insurance, Life Insurance, Financial Services, Auto Insurance",Chandler,Alpha & Omega Financial Group,85286,5.0,AZ
"3211 N Tenaya Way, Ste 115",8mdM8abuDq5-QhYBjIY94w,"Life Insurance, Financial Services, Insurance, Home & Rental Insurance, Auto Insurance",Las Vegas,Desert Shores Insurance Services,89129,4.5,NV
"2800 W Sahara Ave, Ste 6A",uW46dizrUk0J1BJc7MkY4A,"Professional Services, Insurance, Accountants, Tax Services, Life Insurance, Financial Services",Las Vegas,JC 101 Services,89102,1.5,NV
"4411 S Rural Rd, Ste 201",GCH-_SwHCAsUnLli54JRaQ,"Health & Medical, Home Health Care, Health Insurance Offices, Life Insurance, Insurance, Financial Services",Tempe,Rodney Horne - Whole Health 4 Life,85282,5.0,AZ
"10715 David Taylor Dr, Ste 500",xf29ZP4UPzPwX6M-0GMIWg,"Financial Services, Auto Insurance, Home & Rental Insurance, Insurance, Life Insurance",Charlotte,Erie Insurance Group,28262,1.0,NC
"6530 N Buffalo Dr, Ste 140",u04012ROvcubmBDUMQadmA,"Life Insurance, Insurance, Home & Rental Insurance, Auto Insurance, Financial Services",Las Vegas,Allstate Insurance Agent: Julio Lyons,89131,3.5,NV
"2625 E Craig Rd, Ste F",9M9sYHxewgpbzmeKrjw_fA,"Life Insurance, Financial Services, Auto Insurance, Insurance, Home & Rental Insurance",North Las Vegas,Colleen Drinnon - American Family Insurance,89030,3.5,NV
8276 W Camelback Rd,1cJTrCjIHusAE4P_GHqyYA,"Financial Services, Auto Insurance, Home & Rental Insurance, Life Insurance, Insurance",Glendale,Allstate Insurance: Juan Deglane,85303,4.0,AZ
,48pViHXrYENXVyX44mUGNg,"Health & Medical, Health Insurance Offices, Life Insurance, Insurance, Financial Services",Phoenix,"Casey Kemp, Rane Family Insurance",85027,5.0,AZ
"7380 S Eastern Ave, Ste 123",t0unczk90zU3bTYFqDqrEg,"Financial Services, Life Insurance, Insurance, Home & Rental Insurance, Auto Insurance",Las Vegas,Allstate Insurance Agent: Rosalie Gonzalez,89123,3.5,NV
"1000 N Green Valley Pkwy, Ste 450",H8yEpcHQKXnWIUBk9EtK-w,"Financial Services, Insurance, Auto Insurance, Life Insurance, Home & Rental Insurance",Henderson,Allstate Insurance : The Bell Agency,89074,4.5,NV
"112 N Tryon St, Ste 300",BVMH2vmNMjE3Al4gOnrAVQ,"Financial Services, Auto Insurance, Life Insurance, Home & Rental Insurance, Insurance",Charlotte,Allstate Insurance: J C Alvarado,28202,4.0,NC
"7825 Ballantyne Commons, Ste 220",rvaq6umghH9sfNaizkYUCg,"Banks & Credit Unions, Financial Services, Home & Rental Insurance, Life Insurance, Auto Insurance, Insurance",Charlotte,Tom Harman - State Farm Insurance Agent,28277,3.0,NC
"6145 S Rainbow Blvd, Ste 105",8Q2IPMjrDPwILXa4lBKB8Q,"Financial Advising, Financial Services, Life Insurance, Insurance, Investing, Tax Services",Las Vegas,Link Financial Advisory,89118,5.0,NV
"8133 Ardrey Kell Rd, Ste 202",WXpVC1VbdUaZYgbC4LWV7Q,"Insurance, Financial Services, Life Insurance, Auto Insurance, Home & Rental Insurance",Charlotte,Allstate Insurance: Ken Costanza,28277,5.0,NC
"467 E Silverado Ranch Blvd, Ste 120",CYDBaTzC45UzX1eY1jkckg,"Financial Services, Life Insurance, Home & Rental Insurance, Insurance, Auto Insurance",Las Vegas,Loan Ngo: Allstate Insurance,89183,4.5,NV
"625 N Gilbert Rd, Ste 107",mbYxVY1lgekEq9UKrzRnxA,"Home & Rental Insurance, Life Insurance, Auto Insurance, Insurance, Financial Services",Gilbert,San Tan Insurance,85234,5.0,AZ
